Route,Location,URL,"Avg Stars","Your Stars","Route Type",Rating,Pitches,Length,"Area Latitude","Area Longitude"
"10 Karat Traverse","Three-pillar stack > Ruby beach boulder stacks > Olympic Bouldering > Olympic National Park > Olympics & Pacific Coast > Washington",https://www.mountainproject.com/route/119174375/10-karat-traverse,3.0,-1,"Boulder, Alpine",V3,1,100,47.71192,-124.41701
"2 Move Wonder","The boulder > Wilkeson crag > Tacoma & I5 to Foothills > South-West & Tacoma > Washington",https://www.mountainproject.com/route/118780116/2-move-wonder,1.5,-1,Boulder,V3-4,1,,47.10257,-122.02506
"420 Moderate","420 > The 420 Boulders > ** Bouldering in Icicle Creek > Icicle Creek > Leavenworth > Central-East Cascades, Wenatchee, & Leavenworth > Washington",https://www.mountainproject.com/route/108558242/420-moderate,2.6,-1,Boulder,V2-3,1,,47.56248,-120.77662
"5-Star Arete","The Dome > Bridge of the Gods Boulders > Columbia Gorge > South-West & Tacoma > Washington",https://www.mountainproject.com/route/111751134/5-star-arete,2.4,-1,Boulder,V3,1,10,45.68705,-121.93359
:D.,"Avocado > Power Struggle Cluster > Whiteface Area > 2nd Field (Main) > Treasury > Skykomish Valley > Central-West Cascades & Seattle > Washington",https://www.mountainproject.com/route/119646073/d,2.0,-1,Boulder,V3,1,,47.76093,-121.12913
"A Quantum of Solace","Agenda Dysphoria Wall > SJW Wall > Burge North (Tonasket) > Okanogan > Washington",https://www.mountainproject.com/route/122879597/a-quantum-of-solace,3.0,-1,Boulder,V3,1,20,48.79052,-119.25005
"A Salish Dream","The Twin Aretes > Main Area > Lost Ledge > Larrabee > Bellingham Area > Bellingham and Mt Baker Hwy > Northwest Region > Washington",https://www.mountainproject.com/route/119529274/a-salish-dream,3.0,-1,Boulder,"V3 R",1,25,48.65855,-122.46116
"A Taste of Swan","Local Swan Boulder > Salty Spitoon > Granite Point Boulders > Granite Point > Southeast Corner > Washington",https://www.mountainproject.com/route/119432585/a-taste-of-swan,2.0,-1,Boulder,V3,1,12,46.60131,-117.36297
Ace,"Jerry Garcia boulder > The Egg > ** Bouldering in Icicle Creek > Icicle Creek > Leavenworth > Central-East Cascades, Wenatchee, & Leavenworth > Washington",https://www.mountainproject.com/route/107278531/ace,2.1,-1,Boulder,V3,1,,47.57192,-120.78939
Agape,"Agape Boulder > Agape Boulders Area > The Airfield > ** Bouldering in Icicle Creek > Icicle Creek > Leavenworth > Central-East Cascades, Wenatchee, & Leavenworth > Washington",https://www.mountainproject.com/route/119210273/agape,3.0,-1,Boulder,V3,1,,47.54585,-120.71939
"Air Bud","Load boulder > Main Area > Lost Ledge > Larrabee > Bellingham Area > Bellingham and Mt Baker Hwy > Northwest Region > Washington",https://www.mountainproject.com/route/119431481/air-bud,2.4,-1,Boulder,V3,1,,48.65852,-122.46102
"Alcove Center","The Hesitator > Barney's Rubble > ** Bouldering in Icicle Creek > Icicle Creek > Leavenworth > Central-East Cascades, Wenatchee, & Leavenworth > Washington",https://www.mountainproject.com/route/117684536/alcove-center,2.4,-1,Boulder,V3,1,,47.54305,-120.73494
"Alcove Right","The Hesitator > Barney's Rubble > ** Bouldering in Icicle Creek > Icicle Creek > Leavenworth > Central-East Cascades, Wenatchee, & Leavenworth > Washington",https://www.mountainproject.com/route/120477471/alcove-right,2.5,-1,Boulder,V3,1,10,47.54305,-120.73494
"Alexander the Great","Greek Boulder > Empire Boulders > Columbia Gorge > South-West & Tacoma > Washington",https://www.mountainproject.com/route/119696904/alexander-the-great,2.1,-1,Boulder,V3,1,12,45.74507,-121.76218
Aloha,"Dishman Bouldering Wall > * Bouldering in Dishman > Dishman > Spokane Area > Northeast Corner & Spokane > Washington",https://www.mountainproject.com/route/113201003/aloha,2.0,-1,Boulder,V3-,1,,47.65098,-117.28811
"Angle of the Dangle","Worm Boulder > West Side > Lake Crescent > Olympics & Pacific Coast > Washington",https://www.mountainproject.com/route/120999892/angle-of-the-dangle,4.0,-1,Boulder,V3,1,12,48.08501,-123.73618
Aqalung,"Columbia Pearl > Beacon Rock Bouldering > Beacon Rock > Columbia Gorge > South-West & Tacoma > Washington",https://www.mountainproject.com/route/119788946/aqalung,2.0,-1,Boulder,V3-4,1,,45.6248,-122.01973
Aqueduct,"Roman Boulder > Empire Boulders > Columbia Gorge > South-West & Tacoma > Washington",https://www.mountainproject.com/route/119686303/aqueduct,3.0,-1,Boulder,V3,1,18,45.74506,-121.76217
"Arete eliminate","Slabby arete boulder > Lower Wall & Lower Lump Boulders > ** Bouldering at Index > Index > Skykomish Valley > Central-West Cascades & Seattle > Washington",https://www.mountainproject.com/route/108129968/arete-eliminate,2.5,-1,Boulder,V3,1,,47.8185,-121.5705
"Aries Slab","Aries Slab > Aries Boulders > Clearcut > Reiter Foothills > Gold Bar Boulders > Skykomish Valley > Central-West Cascades & Seattle > Washington",https://www.mountainproject.com/route/115467334/aries-slab,2.0,-1,Boulder,V3,1,10,47.84798,-121.60879
Ash,"Ash Boulder > Twenty Five Mile Creek > Chelan > Central-East Cascades, Wenatchee, & Leavenworth > Washington",https://www.mountainproject.com/route/120907455/ash,2.0,-1,Boulder,V3,1,15,47.95434,-120.32947
ATV,"Waddle Creek > Capitol Forest > Olympia Area Bouldering > Olympics & Pacific Coast > Washington",https://www.mountainproject.com/route/107957920/atv,2.0,-1,Boulder,V3,1,8,46.9465,-123.0644
Aura,"Grandview Boulder > ** Bouldering in Icicle Creek > Icicle Creek > Leavenworth > Central-East Cascades, Wenatchee, & Leavenworth > Washington",https://www.mountainproject.com/route/120710860/aura,2.0,-1,Boulder,V3,1,,47.59004,-120.80422
B.O.B,"Aquemini Boulder > Outkast Boulders > West Forest > Forest > Reiter Foothills > Gold Bar Boulders > Skykomish Valley > Central-West Cascades & Seattle > Washington",https://www.mountainproject.com/route/105859566/bob,3.0,-1,Boulder,V3,1,,47.84912,-121.609
"Baby's Mama","Midnight Lichen Lowballs > Midnight Lichen Group > East Forest > Forest > Reiter Foothills > Gold Bar Boulders > Skykomish Valley > Central-West Cascades & Seattle > Washington",https://www.mountainproject.com/route/105858372/babys-mama,2.0,-1,Boulder,V3+,1,,47.84711,-121.6056
"Bad Criminal (Full)","(h) Bad Criminal Boulder > (2) Highway Ditch Zone > Pistol Boulders > Far Side Boulders > **Bouldering at Exit 38 > Exit 38 > North Bend & Vicinity > Central-West Cascades & Seattle > Washington",https://www.mountainproject.com/route/120546928/bad-criminal-full,2.7,-1,Boulder,V3,1,15,47.4291,-121.62023
"Bad Sharer","Obelisk Boulder > Deception Glade Boulders > **Bouldering at Exit 38 > Exit 38 > North Bend & Vicinity > Central-West Cascades & Seattle > Washington",https://www.mountainproject.com/route/119461742/bad-sharer,2.6,-1,Boulder,V3,1,,47.43708,-121.66275
"Bait & Switch","Mind Games Boulder > Paradise Boulders > Miller River Boulders > Skykomish Valley > Central-West Cascades & Seattle > Washington",https://www.mountainproject.com/route/115406186/bait-switch,1.7,-1,Boulder,V3,1,,47.64195,-121.37585
"Balance Slap","Campus Traverse > Swiftwater Boulders > ** Bouldering in Tumwater Canyon > Tumwater Canyon > Leavenworth > Central-East Cascades, Wenatchee, & Leavenworth > Washington",https://www.mountainproject.com/route/116843199/balance-slap,2.0,-1,Boulder,V3-4,1,,47.65635,-120.72949
Ballet,"Girlfunk > The Labyrinth > ** Bouldering in Tumwater Canyon > Tumwater Canyon > Leavenworth > Central-East Cascades, Wenatchee, & Leavenworth > Washington",https://www.mountainproject.com/route/118731265/ballet,2.0,-1,Boulder,V3,1,,47.58725,-120.68716
"Banana Slingshot","Fruit Stand Boulder > *Bouldering Near Big Rock > Other Skagit Valley Crags > Hwy 20 and North Cascades National Park > Northwest Region > Washington",https://www.mountainproject.com/route/122304055/banana-slingshot,1.0,-1,Boulder,V3,1,10,48.42743,-122.26329
"Bare Necessities","The Pit > The Pit > 2nd Field (Main) > Treasury > Skykomish Valley > Central-West Cascades & Seattle > Washington",https://www.mountainproject.com/route/120082909/bare-necessities,3.0,-1,Boulder,V3,1,,47.76142,-121.12919
"Bastard in a Basket","There Will Be Blood Boulder > Blockbuster Boulders > Smithbrook > Central-East Cascades, Wenatchee, & Leavenworth > Washington",https://www.mountainproject.com/route/121313008/bastard-in-a-basket,2.7,-1,Boulder,V3,1,12,47.79527,-121.06455
"Be the Bop","Cowboy Bebop Boulder > Grand Line Boulders > Reiter Road > Gold Bar Boulders > Skykomish Valley > Central-West Cascades & Seattle > Washington",https://www.mountainproject.com/route/123313789/be-the-bop,2.0,-1,Boulder,"V3 PG13",1,20,47.8444,-121.61451
"Beached Whale","Slab Boulder > The Beach > The Beach and Forest Area > ** Bouldering in Tumwater Canyon > Tumwater Canyon > Leavenworth > Central-East Cascades, Wenatchee, & Leavenworth > Washington",https://www.mountainproject.com/route/113011857/beached-whale,3.6,-1,Boulder,V3,1,20,47.59871,-120.71481
"Bearly There","Ursa Minor > Empire Boulders > Columbia Gorge > South-West & Tacoma > Washington",https://www.mountainproject.com/route/119608567/bearly-there,2.6,-1,Boulder,V3+,1,10,45.74499,-121.76218
