Route,Location,URL,"Avg Stars","Your Stars","Route Type",Rating,Pitches,Length,"Area Latitude","Area Longitude"
"Deadline (aka Epic Arete)","Bouldering > McLellan Rocks > Spokane Area > Northeast Corner & Spokane > Washington",https://www.mountainproject.com/route/109748602/deadline-aka-epic-arete,3.7,-1,Boulder,V9,1,,47.83545,-117.72501
"Dirly Nose Proj","Whirly Dirly Boulder > Top Self Area > 2nd Field (Main) > Treasury > Skykomish Valley > Central-West Cascades & Seattle > Washington",https://www.mountainproject.com/route/120802314/dirly-nose-proj,4.0,-1,Boulder,V8-9,1,,47.76155,-121.12954
"Don’t breathe","Road front > Granite Point Boulders > Granite Point > Southeast Corner > Washington",https://www.mountainproject.com/route/124551549/dont-breathe,2.5,-1,Boulder,"V9 PG13",1,20,46.60473,-117.3594
"Dookie's Pinchfest","Funpuppet Boulder > Funpuppet Boulders > Central Forest > Forest > Reiter Foothills > Gold Bar Boulders > Skykomish Valley > Central-West Cascades & Seattle > Washington",https://www.mountainproject.com/route/119956058/dookies-pinchfest,3.0,-1,Boulder,V8-9,1,,47.84739,-121.60694
"Double Vision","Main Area Bouldering > Sehome Arboretum Bouldering > Sehome Arboretum > Bellingham Area > Bellingham and Mt Baker Hwy > Northwest Region > Washington",https://www.mountainproject.com/route/126120513/double-vision,4.0,-1,Boulder,V9,1,,48.72964,-122.48328
"El Compadre","Shark Tank Boulder > Lower (Main) Area > Hamilton Boulders > Columbia Gorge > South-West & Tacoma > Washington",https://www.mountainproject.com/route/113906598/el-compadre,2.0,-1,Boulder,V8-9,1,12,45.64307,-122.03408
"Emu Butter","Upper 420s > The 420 Boulders > ** Bouldering in Icicle Creek > Icicle Creek > Leavenworth > Central-East Cascades, Wenatchee, & Leavenworth > Washington",https://www.mountainproject.com/route/120378285/emu-butter,2.5,-1,Boulder,V8-9,1,12,47.56345,-120.776
"Everything Is Awesome","Leggo my Ego Boulder > River Boulders > ** Bouldering at Index > Index > Skykomish Valley > Central-West Cascades & Seattle > Washington",https://www.mountainproject.com/route/120176794/everything-is-awesome,3.0,-1,Boulder,V9-,1,,47.81749,-121.59801
"Fortress of Solitude Proj","Fortress of Solitude > Top Self Area > 2nd Field (Main) > Treasury > Skykomish Valley > Central-West Cascades & Seattle > Washington",https://www.mountainproject.com/route/120802697/fortress-of-solitude-proj,3.0,-1,Boulder,V9-10,1,,47.76204,-121.12994
"Frog Low","Boxcar Boulder > Lower Wall & Lower Lump Boulders > ** Bouldering at Index > Index > Skykomish Valley > Central-West Cascades & Seattle > Washington",https://www.mountainproject.com/route/124354542/frog-low,2.5,-1,Boulder,V9-10,1,12,47.8185,-121.5705
"From Russia with Love","From Russia With Love > Lower Bond Boulders > The Bond Boulders > ** Bouldering in Icicle Creek > Icicle Creek > Leavenworth > Central-East Cascades, Wenatchee, & Leavenworth > Washington",https://www.mountainproject.com/route/119095113/from-russia-with-love,2.0,-1,Boulder,V9,1,,47.55,-120.69672
Funpuppet,"Funpuppet Boulder > Funpuppet Boulders > Central Forest > Forest > Reiter Foothills > Gold Bar Boulders > Skykomish Valley > Central-West Cascades & Seattle > Washington",https://www.mountainproject.com/route/119956149/funpuppet,3.0,-1,Boulder,V9,1,,47.84739,-121.60694
"Girl’s Best Friend","Other Rocks > Minnehaha > Spokane Area > Northeast Corner & Spokane > Washington",https://www.mountainproject.com/route/124441583/girls-best-friend,3.0,-1,Boulder,V9,1,20,47.6873,-117.3265
"Goicoechea Problem","U2 and Goicoechea boulder > The Forest > The Beach and Forest Area > ** Bouldering in Tumwater Canyon > Tumwater Canyon > Leavenworth > Central-East Cascades, Wenatchee, & Leavenworth > Washington",https://www.mountainproject.com/route/105807084/goicoechea-problem,3.4,-1,Boulder,V9,1,10,47.59433,-120.71442
"Gong Show","Gong Show Boulder > Booka Boulders > **Middle Fork Boulders > Exit 34; Middle Fork & Taylor River > North Bend & Vicinity > Central-West Cascades & Seattle > Washington",https://www.mountainproject.com/route/124677646/gong-show,4.0,-1,Boulder,V9,1,15,47.54738,-121.52461
"Heads Will Roll","Heads Will Roll > Straightaway Boulders > ** Bouldering in Icicle Creek > Icicle Creek > Leavenworth > Central-East Cascades, Wenatchee, & Leavenworth > Washington",https://www.mountainproject.com/route/119793899/heads-will-roll,4.0,-1,Boulder,V9,1,15,47.54575,-120.74885
Heartbreaker,"Heartbreaker boulder > Rocks of Sharon > Spokane Area > Northeast Corner & Spokane > Washington",https://www.mountainproject.com/route/124019703/heartbreaker,4.0,-1,Boulder,V9,1,15,47.57772,-117.28456
Hophenge,"Drip Wall > ** Bouldering in Tumwater Canyon > Tumwater Canyon > Leavenworth > Central-East Cascades, Wenatchee, & Leavenworth > Washington",https://www.mountainproject.com/route/126118314/hophenge,-1.0,-1,Boulder,V9,1,,47.61398,-120.71918
"I know, Dyno!","The Ladder Project Boulder > Straightaway Boulders > ** Bouldering in Icicle Creek > Icicle Creek > Leavenworth > Central-East Cascades, Wenatchee, & Leavenworth > Washington",https://www.mountainproject.com/route/119817267/i-know-dyno,1.0,-1,Boulder,V9,1,10,47.54597,-120.74839
Ikigai,"Uvula Boulder > Main Area > Lost Ledge > Larrabee > Bellingham Area > Bellingham and Mt Baker Hwy > Northwest Region > Washington",https://www.mountainproject.com/route/124212513/ikigai,3.0,-1,Boulder,V8-9,1,12,48.65909,-122.46137
"Immortal Techniques","Campus Traverse > Swiftwater Boulders > ** Bouldering in Tumwater Canyon > Tumwater Canyon > Leavenworth > Central-East Cascades, Wenatchee, & Leavenworth > Washington",https://www.mountainproject.com/route/119710728/immortal-techniques,3.1,-1,Boulder,V9,1,10,47.65635,-120.72949
Indigenous,"Indigenous > Fern Gully > Bulletin Boulders > ** Bouldering in Icicle Creek > Icicle Creek > Leavenworth > Central-East Cascades, Wenatchee, & Leavenworth > Washington",https://www.mountainproject.com/route/119892168/indigenous,-1.0,-1,Boulder,V9,1,14,47.54678,-120.71356
"Infinity Arete","Behemoth Boulder > 2nd Talus > Smithbrook > Central-East Cascades, Wenatchee, & Leavenworth > Washington",https://www.mountainproject.com/route/125046060/infinity-arete,3.0,-1,Boulder,"V9 R",1,,47.79602,-121.0624
"Kelly's Bulge","Main Bulge Boulder > Bulge Boulders > ** Bouldering in Icicle Creek > Icicle Creek > Leavenworth > Central-East Cascades, Wenatchee, & Leavenworth > Washington",https://www.mountainproject.com/route/119947550/kellys-bulge,3.6,-1,Boulder,V8-9,1,10,47.54986,-120.75694
"Knife Fight Project","(h) Bad Criminal Boulder > (2) Highway Ditch Zone > Pistol Boulders > Far Side Boulders > **Bouldering at Exit 38 > Exit 38 > North Bend & Vicinity > Central-West Cascades & Seattle > Washington",https://www.mountainproject.com/route/120546909/knife-fight-project,2.0,-1,Boulder,V9,1,12,47.4291,-121.62023
"Kobra Kon","Kobra Kon Boulder > Forestland Boulders > ** Bouldering in Icicle Creek > Icicle Creek > Leavenworth > Central-East Cascades, Wenatchee, & Leavenworth > Washington",https://www.mountainproject.com/route/113788741/kobra-kon,4.0,-1,Boulder,V9,1,,47.54584,-120.73335
"Kona's Bulge","Main Bulge Boulder > Bulge Boulders > ** Bouldering in Icicle Creek > Icicle Creek > Leavenworth > Central-East Cascades, Wenatchee, & Leavenworth > Washington",https://www.mountainproject.com/route/119947616/konas-bulge,3.0,-1,Boulder,V9,1,12,47.54986,-120.75694
Ladykiller,"Heartbreaker Boulder > Mad Meadows > ** Bouldering in Icicle Creek > Icicle Creek > Leavenworth > Central-East Cascades, Wenatchee, & Leavenworth > Washington",https://www.mountainproject.com/route/121809999/ladykiller,3.5,-1,Boulder,V9-10,1,20,47.54248,-120.72314
Landjäger,"Landjäger Boulder > Approach Boulders > Morpheus Boulders > Miller River Boulders > Skykomish Valley > Central-West Cascades & Seattle > Washington",https://www.mountainproject.com/route/117251258/landjager,3.2,-1,Boulder,V9,1,10,47.6662,-121.39986
