Route,Location,URL,"Avg Stars","Your Stars","Route Type",Rating,Pitches,Length,"Area Latitude","Area Longitude"
"(Scree)min' Demon","Bedal Basin (Bedal Boulder) > Darrington and Mountain Loop Hwy > Northwest Region > Washington",https://www.mountainproject.com/route/110680183/screemin-demon,3.0,-1,Boulder,V0-1,1,,48.06604,-121.36959
1.,"Bimbo Beach Backbone Boulders > East Wenatchee > Wenatchee > Central-East Cascades, Wenatchee, & Leavenworth > Washington",https://www.mountainproject.com/route/120337645/1,2.0,-1,Boulder,V1-,1,,47.46256,-120.31463
"20 Meter Freestyle Traverse","20-Meter Freestyle Area > Banks Lake > Central Region > Washington",https://www.mountainproject.com/route/124634669/20-meter-freestyle-traverse,1.0,-1,Boulder,V0-1,1,80,47.88724,-119.10107
"420 Slab","420 > The 420 Boulders > ** Bouldering in Icicle Creek > Icicle Creek > Leavenworth > Central-East Cascades, Wenatchee, & Leavenworth > Washington",https://www.mountainproject.com/route/108558133/420-slab,3.0,-1,Boulder,V1,1,,47.56248,-120.77662
"5 Karat Traverse","Three-pillar stack > Ruby beach boulder stacks > Olympic Bouldering > Olympic National Park > Olympics & Pacific Coast > Washington",https://www.mountainproject.com/route/119174300/5-karat-traverse,2.7,-1,"Boulder, Alpine",V1,1,40,47.71192,-124.41701
6.,"Bimbo Beach Backbone Boulders > East Wenatchee > Wenatchee > Central-East Cascades, Wenatchee, & Leavenworth > Washington",https://www.mountainproject.com/route/120337974/6,2.0,-1,Boulder,V1,1,,47.46256,-120.31463
7.,"Bimbo Beach Backbone Boulders > East Wenatchee > Wenatchee > Central-East Cascades, Wenatchee, & Leavenworth > Washington",https://www.mountainproject.com/route/120337985/7,2.0,-1,Boulder,V0-1,1,,47.46256,-120.31463
"A Church Divided","The Church of Roslyn Boulder > Roslyn > Central-East Cascades, Wenatchee, & Leavenworth > Washington",https://www.mountainproject.com/route/123134268/a-church-divided,2.0,-1,Boulder,V1,1,10,47.22511,-120.98402
"A Cowboy and His Cults","(b) The Cult Boulder > (1) Cable Sign Zone > Pistol Boulders > Far Side Boulders > **Bouldering at Exit 38 > Exit 38 > North Bend & Vicinity > Central-West Cascades & Seattle > Washington",https://www.mountainproject.com/route/120546803/a-cowboy-and-his-cults,1.3,-1,Boulder,V1+,1,10,47.42943,-121.6199
"A Rainy Day in January","North Tower > Camp Long > West Seattle > Seattle and Seattle Eastside > Central-West Cascades & Seattle > Washington",https://www.mountainproject.com/route/125641528/a-rainy-day-in-january,2.0,-1,Boulder,V1,1,8,47.55482,-122.37349
"Abrazos Borrachos","Quieres Moss Boulder > West Forest > Forest > Reiter Foothills > Gold Bar Boulders > Skykomish Valley > Central-West Cascades & Seattle > Washington",https://www.mountainproject.com/route/106203710/abrazos-borrachos,2.0,-1,Boulder,V1,1,,47.84885,-121.60827
"Against The Wall","The Carnival Boulders > ** Bouldering in Icicle Creek > Icicle Creek > Leavenworth > Central-East Cascades, Wenatchee, & Leavenworth > Washington",https://www.mountainproject.com/route/112798918/against-the-wall,1.8,-1,Boulder,V1+,1,,47.55558,-120.76821
"Agape Direct","Agape Boulder > Agape Boulders Area > The Airfield > ** Bouldering in Icicle Creek > Icicle Creek > Leavenworth > Central-East Cascades, Wenatchee, & Leavenworth > Washington",https://www.mountainproject.com/route/119210286/agape-direct,2.5,-1,Boulder,V1,1,,47.54585,-120.71939
