Route,Location,URL,"Avg Stars","Your Stars","Route Type",Rating,Pitches,Length,"Area Latitude","Area Longitude"
"1000 Beggars","Temple Boulder > Outer Space Boulders > Smithbrook > Central-East Cascades, Wenatchee, & Leavenworth > Washington",https://www.mountainproject.com/route/121374261/1000-beggars,3.0,-1,"Boulder, Alpine",V7,1,15,47.80038,-121.05447
A-Aron,"A-aron Boulder > Lower (Main) Area > Hamilton Boulders > Columbia Gorge > South-West & Tacoma > Washington",https://www.mountainproject.com/route/108868969/a-aron,3.0,-1,Boulder,V7,1,10,45.64312,-122.03404
"Achilles' Heel","Persian Boulder > Empire Boulders > Columbia Gorge > South-West & Tacoma > Washington",https://www.mountainproject.com/route/124118502/achilles-heel,2.3,-1,Boulder,V7,1,15,45.74499,-121.76218
"Airfield Arete","Airfield Boulder > Agape Boulders Area > The Airfield > ** Bouldering in Icicle Creek > Icicle Creek > Leavenworth > Central-East Cascades, Wenatchee, & Leavenworth > Washington",https://www.mountainproject.com/route/113775372/airfield-arete,3.8,-1,Boulder,V7,1,15,47.54573,-120.71991
Amanita,"Shroom Boulder > Rattlesnake Lake Bouldering > Exit 32; Rattlesnake Lake > North Bend & Vicinity > Central-West Cascades & Seattle > Washington",https://www.mountainproject.com/route/125903991/amanita,1.0,-1,Boulder,V7-8,1,5,47.43443,-121.7743
"Amoeba Strain","Uvula Boulder > Main Area > Lost Ledge > Larrabee > Bellingham Area > Bellingham and Mt Baker Hwy > Northwest Region > Washington",https://www.mountainproject.com/route/124212450/amoeba-strain,3.0,-1,Boulder,V6-7,1,15,48.65909,-122.46137
"Ampullae of Lorenzini","Jaws > Roslyn > Central-East Cascades, Wenatchee, & Leavenworth > Washington",https://www.mountainproject.com/route/123133958/ampullae-of-lorenzini,3.0,-1,Boulder,V7,1,30,47.22487,-120.98527
"Any Day Now","Main Cluster > Lichtenberg Boulders > Smithbrook > Central-East Cascades, Wenatchee, & Leavenworth > Washington",https://www.mountainproject.com/route/125443283/any-day-now,3.0,-1,"Boulder, Alpine",V7-8,1,10,47.79356,-121.08888
"Ass Deep in the Trenches","Main Wall > Coal Creek Crag > Seattle and Seattle Eastside > Central-West Cascades & Seattle > Washington",https://www.mountainproject.com/route/124670733/ass-deep-in-the-trenches,3.0,-1,"TR, Boulder","5.12- V7 R",1,20,47.52605,-122.11992
"B is for Brutus","Roman Boulder > Empire Boulders > Columbia Gorge > South-West & Tacoma > Washington",https://www.mountainproject.com/route/119982035/b-is-for-brutus,2.3,-1,Boulder,V7-8,1,,45.74506,-121.76217
