Route,Location,URL,"Avg Stars","Your Stars","Route Type",Rating,Pitches,Length,"Area Latitude","Area Longitude"
"Angelina Jolie","Angelina Jolie Boulder > Twisted Tree > ** Bouldering in Icicle Creek > Icicle Creek > Leavenworth > Central-East Cascades, Wenatchee, & Leavenworth > Washington",https://www.mountainproject.com/route/111246714/angelina-jolie,4.0,-1,Boulder,V10,1,15,47.56205,-120.77906
Atlas,"Atlas Boulder > Upper Devil's Club Forest > Morpheus Boulders > Miller River Boulders > Skykomish Valley > Central-West Cascades & Seattle > Washington",https://www.mountainproject.com/route/118779406/atlas,3.0,-1,Boulder,V10,1,,47.66123,-121.40198
"Beyond The Grave","Beyond The Grave Cave > Rattlesnake Lake Bouldering > Exit 32; Rattlesnake Lake > North Bend & Vicinity > Central-West Cascades & Seattle > Washington",https://www.mountainproject.com/route/125904044/beyond-the-grave,4.0,-1,Boulder,V10-11,1,,47.43509,-121.77422
"Big Booty B**** Slap","Campus Traverse > Swiftwater Boulders > ** Bouldering in Tumwater Canyon > Tumwater Canyon > Leavenworth > Central-East Cascades, Wenatchee, & Leavenworth > Washington",https://www.mountainproject.com/route/121318808/big-booty-b-slap,2.3,-1,Boulder,V10,1,12,47.65635,-120.72949
"Big Happy or Legs Go Snappy","The Carnival Boulders > ** Bouldering in Icicle Creek > Icicle Creek > Leavenworth > Central-East Cascades, Wenatchee, & Leavenworth > Washington",https://www.mountainproject.com/route/122205634/big-happy-or-legs-go-snappy,3.0,-1,Boulder,"V9-10 PG13",1,30,47.55558,-120.76821
"Bury the Hatchet","Upper Bond Boulders > The Bond Boulders > ** Bouldering in Icicle Creek > Icicle Creek > Leavenworth > Central-East Cascades, Wenatchee, & Leavenworth > Washington",https://www.mountainproject.com/route/119277565/bury-the-hatchet,3.0,-1,Boulder,V10,1,15,47.55291,-120.69715
"Center Stage","Center Stage Boulder > Prospect Boulders > Miller River Boulders > Skykomish Valley > Central-West Cascades & Seattle > Washington",https://www.mountainproject.com/route/115406350/center-stage,3.3,-1,Boulder,V10,1,,47.63872,-121.37769
Chutzpah,"Chutzpah Boulder > River Boulders > ** Bouldering at Index > Index > Skykomish Valley > Central-West Cascades & Seattle > Washington",https://www.mountainproject.com/route/108259917/chutzpah,3.7,-1,Boulder,V10,1,,47.81714,-121.60187
"Cool Whip","Whip Boulder > Icicle Buttress Boulders > ** Bouldering in Icicle Creek > Icicle Creek > Leavenworth > Central-East Cascades, Wenatchee, & Leavenworth > Washington",https://www.mountainproject.com/route/119821563/cool-whip,4.0,-1,Boulder,V10,1,15,47.54715,-120.75172
"Crimp Pimp","Pimpsqueak Boulder > Mad Meadows > ** Bouldering in Icicle Creek > Icicle Creek > Leavenworth > Central-East Cascades, Wenatchee, & Leavenworth > Washington",https://www.mountainproject.com/route/121811231/crimp-pimp,3.0,-1,Boulder,V10-11,1,20,47.54266,-120.72102
"Crimper Master","Burger Master Boulder > Prospect Boulders > Miller River Boulders > Skykomish Valley > Central-West Cascades & Seattle > Washington",https://www.mountainproject.com/route/120004962/crimper-master,4.0,-1,Boulder,V9-10,1,,47.63885,-121.37823
"Crunch Dyno Project","River Boulder > 1st Field > Treasury > Skykomish Valley > Central-West Cascades & Seattle > Washington",https://www.mountainproject.com/route/119590079/crunch-dyno-project,2.5,-1,Boulder,V10,1,,47.75635,-121.12923
"Crystal Symbology","Western Outliers > Lichtenberg Boulders > Smithbrook > Central-East Cascades, Wenatchee, & Leavenworth > Washington",https://www.mountainproject.com/route/125443417/crystal-symbology,4.0,-1,"Boulder, Alpine",V10-11,1,,47.79325,-121.08937
"Dark Side of Liberty","Liberty Bell > Liberty Bell Group > Washington Pass > North Cascades > Hwy 20 and North Cascades National Park > Northwest Region > Washington",https://www.mountainproject.com/route/117673432/dark-side-of-liberty,4.0,-1,"Trad, Boulder, Alpine","5.13+ V9-10",10,1100,48.51548,-120.65874
"Dirty Dude","Lonely Fish boulder > Lonely Fish > ** Bouldering in Icicle Creek > Icicle Creek > Leavenworth > Central-East Cascades, Wenatchee, & Leavenworth > Washington",https://www.mountainproject.com/route/118095915/dirty-dude,-1.0,-1,Boulder,V10,1,15,47.53994,-120.70929
"Diverged Dyno [Project]","Diverged Boulder > Lichtenberg Boulders > Smithbrook > Central-East Cascades, Wenatchee, & Leavenworth > Washington",https://www.mountainproject.com/route/125443271/diverged-dyno-project,1.0,-1,"Boulder, Alpine",V10+,1,,47.79367,-121.08835
Dogma,"Driftwood boulder > ** Bouldering in Tumwater Canyon > Tumwater Canyon > Leavenworth > Central-East Cascades, Wenatchee, & Leavenworth > Washington",https://www.mountainproject.com/route/121934850/dogma,3.0,-1,Boulder,V10,1,14,47.60484,-120.71631
"Dookie's Pinchfest Sit Start","Funpuppet Boulder > Funpuppet Boulders > Central Forest > Forest > Reiter Foothills > Gold Bar Boulders > Skykomish Valley > Central-West Cascades & Seattle > Washington",https://www.mountainproject.com/route/126469729/dookies-pinchfest-sit-start,3.0,-1,Boulder,V10,1,10,47.84739,-121.60694
"Dressed to Kill","Dressed To Kill boulder > Dressed to Kill Boulders > Sasquatch Boulders > ** Bouldering at Index > Index > Skykomish Valley > Central-West Cascades & Seattle > Washington",https://www.mountainproject.com/route/126362710/dressed-to-kill,3.0,-1,Boulder,V10,1,,47.83221,-121.51962
"Drip Wall","Drip Wall > ** Bouldering in Tumwater Canyon > Tumwater Canyon > Leavenworth > Central-East Cascades, Wenatchee, & Leavenworth > Washington",https://www.mountainproject.com/route/126118294/drip-wall,-1.0,-1,Boulder,V10,1,,47.61398,-120.71918
Ebriosity,"The Five Star Boulder > Reiter Road > Gold Bar Boulders > Skykomish Valley > Central-West Cascades & Seattle > Washington",https://www.mountainproject.com/route/105813963/ebriosity,3.6,-1,Boulder,V10+,1,20,47.84284,-121.61072
Equinox,"Equinox Boulder > Clearcut > Reiter Foothills > Gold Bar Boulders > Skykomish Valley > Central-West Cascades & Seattle > Washington",https://www.mountainproject.com/route/105974650/equinox,3.9,-1,Boulder,V10,1,,47.84823,-121.60914
Flexcalibur,"Storybrook Boulders > Blockbuster Boulders > Smithbrook > Central-East Cascades, Wenatchee, & Leavenworth > Washington",https://www.mountainproject.com/route/121379791/flexcalibur,4.0,-1,Boulder,V10,1,10,47.79546,-121.0653
Flux,"McFly > Blockbuster Boulders > Smithbrook > Central-East Cascades, Wenatchee, & Leavenworth > Washington",https://www.mountainproject.com/route/121379276/flux,4.0,-1,Boulder,V10,1,15,47.79539,-121.0648
"Follow the White Rabbit","Un-dammed Boulder > Approach Boulders > Morpheus Boulders > Miller River Boulders > Skykomish Valley > Central-West Cascades & Seattle > Washington",https://www.mountainproject.com/route/121083384/follow-the-white-rabbit,2.0,-1,Boulder,V10,1,13,47.66867,-121.39697
"Fortress of Solitude Proj","Fortress of Solitude > Top Self Area > 2nd Field (Main) > Treasury > Skykomish Valley > Central-West Cascades & Seattle > Washington",https://www.mountainproject.com/route/120802697/fortress-of-solitude-proj,3.0,-1,Boulder,V9-10,1,,47.76204,-121.12994
"Frog Low","Boxcar Boulder > Lower Wall & Lower Lump Boulders > ** Bouldering at Index > Index > Skykomish Valley > Central-West Cascades & Seattle > Washington",https://www.mountainproject.com/route/124354542/frog-low,2.5,-1,Boulder,V9-10,1,12,47.8185,-121.5705
"Full House","Royal Flush > Swiftwater Boulders > ** Bouldering in Tumwater Canyon > Tumwater Canyon > Leavenworth > Central-East Cascades, Wenatchee, & Leavenworth > Washington",https://www.mountainproject.com/route/118695276/full-house,3.9,-1,Boulder,V10-,1,15,47.65608,-120.72942
"Full Time Night Woman","Full Time Night Woman > Mountain Home Road Boulders > Leavenworth > Central-East Cascades, Wenatchee, & Leavenworth > Washington",https://www.mountainproject.com/route/118752178/full-time-night-woman,4.0,-1,Boulder,V10-,1,,47.54855,-120.66344
"Green Street Hooligans","Loch Ness Monster Boulder > Paradise Boulders > Miller River Boulders > Skykomish Valley > Central-West Cascades & Seattle > Washington",https://www.mountainproject.com/route/115406222/green-street-hooligans,3.5,-1,Boulder,V10,1,,47.64221,-121.37682
"Hamburger Helper","1st Talus > Smithbrook > Central-East Cascades, Wenatchee, & Leavenworth > Washington",https://www.mountainproject.com/route/124311840/hamburger-helper,3.0,-1,Boulder,V10,1,15,47.79364,-121.05955
"Heeling power","Bouldering > Tumtum > Spokane Area > Northeast Corner & Spokane > Washington",https://www.mountainproject.com/route/120193077/heeling-power,2.0,-1,Boulder,V10,1,5,47.84033,-117.75534
Hollywoo,"Slingblade Boulder > Pitless Avocado > ** Bouldering in Tumwater Canyon > Tumwater Canyon > Leavenworth > Central-East Cascades, Wenatchee, & Leavenworth > Washington",https://www.mountainproject.com/route/121632286/hollywoo,3.5,-1,Boulder,V10,1,12,47.59711,-120.71303
"House of Cards","Schist Cave > Swiftwater Picnic Area > Swiftwater Boulders > ** Bouldering in Tumwater Canyon > Tumwater Canyon > Leavenworth > Central-East Cascades, Wenatchee, & Leavenworth > Washington",https://www.mountainproject.com/route/117568474/house-of-cards,2.0,-1,Boulder,V10+,1,30,47.66484,-120.71977
"Hueco Crimper Left","Hueco Crimper Boulder > Pitless Avocado > ** Bouldering in Tumwater Canyon > Tumwater Canyon > Leavenworth > Central-East Cascades, Wenatchee, & Leavenworth > Washington",https://www.mountainproject.com/route/121812152/hueco-crimper-left,3.0,-1,Boulder,V10,1,20,47.59728,-120.71362
"Iron Lip Low [Project]","Western Outliers > Lichtenberg Boulders > Smithbrook > Central-East Cascades, Wenatchee, & Leavenworth > Washington",https://www.mountainproject.com/route/125443429/iron-lip-low-project,3.0,-1,"Boulder, Alpine",V10+,1,,47.79325,-121.08937
"Johnny Appleseed","Kong > The Kong Boulders > JY Boulders > ** Bouldering in Icicle Creek > Icicle Creek > Leavenworth > Central-East Cascades, Wenatchee, & Leavenworth > Washington",https://www.mountainproject.com/route/120486747/johnny-appleseed,3.8,-1,Boulder,V10,1,15,47.55385,-120.76435
