Route,Location,URL,"Avg Stars","Your Stars","Route Type",Rating,Pitches,Length,"Area Latitude","Area Longitude"
"1-9 Project","River Boulder > 1st Field > Treasury > Skykomish Valley > Central-West Cascades & Seattle > Washington",https://www.mountainproject.com/route/119590248/1-9-project,2.0,-1,Boulder,V8-9,1,,47.75635,-121.12923
5.9+,"Beckey's Problem > The Labyrinth > ** Bouldering in Tumwater Canyon > Tumwater Canyon > Leavenworth > Central-East Cascades, Wenatchee, & Leavenworth > Washington",https://www.mountainproject.com/route/122087256/59,2.0,-1,Boulder,V8,1,,47.5885,-120.68661
"Alpine Goodness","Main Cluster > Lichtenberg Boulders > Smithbrook > Central-East Cascades, Wenatchee, & Leavenworth > Washington",https://www.mountainproject.com/route/125443335/alpine-goodness,4.0,-1,"Boulder, Alpine",V8-9,1,10,47.79356,-121.08888
Amanita,"Shroom Boulder > Rattlesnake Lake Bouldering > Exit 32; Rattlesnake Lake > North Bend & Vicinity > Central-West Cascades & Seattle > Washington",https://www.mountainproject.com/route/125903991/amanita,1.0,-1,Boulder,V7-8,1,5,47.43443,-121.7743
Anansi,"Anansi Boulder > Galena Major Bouldering > ** Bouldering at Index > Index > Skykomish Valley > Central-West Cascades & Seattle > Washington",https://www.mountainproject.com/route/118712994/anansi,4.0,-1,Boulder,V8,1,,47.85896,-121.47512
"And Bears (project)","Cougar Cave > West Side > Lake Crescent > Olympics & Pacific Coast > Washington",https://www.mountainproject.com/route/122828331/and-bears-project,4.0,-1,Boulder,V8,1,15,48.08469,-123.73624
"Any Day Now","Main Cluster > Lichtenberg Boulders > Smithbrook > Central-East Cascades, Wenatchee, & Leavenworth > Washington",https://www.mountainproject.com/route/125443283/any-day-now,3.0,-1,"Boulder, Alpine",V7-8,1,10,47.79356,-121.08888
"Aries: God of War","Aries Boulder > Aries Boulders > Clearcut > Reiter Foothills > Gold Bar Boulders > Skykomish Valley > Central-West Cascades & Seattle > Washington",https://www.mountainproject.com/route/105974682/aries-god-of-war,3.9,-1,Boulder,V8,1,,47.84797,-121.60878
"B is for Brutus","Roman Boulder > Empire Boulders > Columbia Gorge > South-West & Tacoma > Washington",https://www.mountainproject.com/route/119982035/b-is-for-brutus,2.3,-1,Boulder,V7-8,1,,45.74506,-121.76217
"B Mellow","Flattop Boulder > River Boulders > ** Bouldering at Index > Index > Skykomish Valley > Central-West Cascades & Seattle > Washington",https://www.mountainproject.com/route/124785795/b-mellow,2.0,-1,Boulder,"V8 PG13",1,20,47.81724,-121.60193
