Route,Location,URL,"Avg Stars","Your Stars","Route Type",Rating,Pitches,Length,"Area Latitude","Area Longitude"
1,"Lake side Boulder > Rattlesnake Lake Bouldering > Exit 32; Rattlesnake Lake > North Bend & Vicinity > Central-West Cascades & Seattle > Washington",https://www.mountainproject.com/route/112086976/1,3.0,-1,Boulder,V4-,1,,47.43427,-121.77321
"(not sure) V4","Bouldering > Tumtum > Spokane Area > Northeast Corner & Spokane > Washington",https://www.mountainproject.com/route/109031099/not-sure-v4,3.0,-1,Boulder,V4,1,,47.84033,-117.75534
".45 Up 46 Down","(f) Slab & Wesson Boulder > (2) Highway Ditch Zone > Pistol Boulders > Far Side Boulders > **Bouldering at Exit 38 > Exit 38 > North Bend & Vicinity > Central-West Cascades & Seattle > Washington",https://www.mountainproject.com/route/120547371/45-up-46-down,2.7,-1,Boulder,V4,1,17,47.4291,-121.62042
"16 Seconds of Perfection","Yonko boulder > Grand Line Boulders > Reiter Road > Gold Bar Boulders > Skykomish Valley > Central-West Cascades & Seattle > Washington",https://www.mountainproject.com/route/119221991/16-seconds-of-perfection,3.0,-1,Boulder,V4,1,12,47.84434,-121.61444
"2 Move Wonder","The boulder > Wilkeson crag > Tacoma & I5 to Foothills > South-West & Tacoma > Washington",https://www.mountainproject.com/route/118780116/2-move-wonder,1.5,-1,Boulder,V3-4,1,,47.10257,-122.02506
2001,"The Millennium Boulder > Lonely Fish > ** Bouldering in Icicle Creek > Icicle Creek > Leavenworth > Central-East Cascades, Wenatchee, & Leavenworth > Washington",https://www.mountainproject.com/route/117841857/2001,3.0,-1,Boulder,V4,1,,47.54418,-120.74122
"2d Shooter","(e) Philosophical Sandeagle Boulder > (2) Highway Ditch Zone > Pistol Boulders > Far Side Boulders > **Bouldering at Exit 38 > Exit 38 > North Bend & Vicinity > Central-West Cascades & Seattle > Washington",https://www.mountainproject.com/route/120663183/2d-shooter,2.3,-1,Boulder,V4,1,7,47.42912,-121.62032
3-D,"McFly > Blockbuster Boulders > Smithbrook > Central-East Cascades, Wenatchee, & Leavenworth > Washington",https://www.mountainproject.com/route/121379281/3-d,3.0,-1,Boulder,V4,1,10,47.79539,-121.0648
"A Link to the Past","Zelda > Zelda Boulders > ** Bouldering at Index > Index > Skykomish Valley > Central-West Cascades & Seattle > Washington",https://www.mountainproject.com/route/122701742/a-link-to-the-past,2.8,-1,Boulder,V4-,1,,47.82262,-121.55947
"Affordable Foiegras","Left Alcove Boulder > Upper Bowl > Hamilton Boulders > Columbia Gorge > South-West & Tacoma > Washington",https://www.mountainproject.com/route/120126134/affordable-foiegras,3.0,-1,Boulder,V4,1,10,45.64534,-122.03402
