Route,Location,URL,"Avg Stars","Your Stars","Route Type",Rating,Pitches,Length,"Area Latitude","Area Longitude"
"#3 and #4","Eddie Wall > Minnehaha > Spokane Area > Northeast Corner & Spokane > Washington",https://www.mountainproject.com/route/118725455/3-and-4,3.0,-1,Boulder,V6,1,,47.68851,-117.32549
"14 Years","Hate Rock > Swiftwater Picnic Area > Swiftwater Boulders > ** Bouldering in Tumwater Canyon > Tumwater Canyon > Leavenworth > Central-East Cascades, Wenatchee, & Leavenworth > Washington",https://www.mountainproject.com/route/106529433/14-years,2.5,-1,Boulder,V6,1,,47.65417,-120.72906
"20 Seconds of Perfection","Yonko boulder > Grand Line Boulders > Reiter Road > Gold Bar Boulders > Skykomish Valley > Central-West Cascades & Seattle > Washington",https://www.mountainproject.com/route/119330597/20-seconds-of-perfection,3.3,-1,Boulder,V6,1,12,47.84434,-121.61444
"89,000 Feet","Coexist Boulder > Hideout Boulders > Miller River Boulders > Skykomish Valley > Central-West Cascades & Seattle > Washington",https://www.mountainproject.com/route/115188315/89000-feet,2.2,-1,Boulder,V6,1,,47.64881,-121.36998
ACL,"Collateral Damage > Main Area > Lost Ledge > Larrabee > Bellingham Area > Bellingham and Mt Baker Hwy > Northwest Region > Washington",https://www.mountainproject.com/route/119465168/acl,2.8,-1,Boulder,V6-,1,,48.65852,-122.46113
Aeolian,"Aeolian Boulder > Aeolian > Main Area > Lost Ledge > Larrabee > Bellingham Area > Bellingham and Mt Baker Hwy > Northwest Region > Washington",https://www.mountainproject.com/route/117605634/aeolian,3.8,-1,Boulder,V6,1,12,48.6585,-122.46109
"Ain’t Nothin’ but a Hueco Thing","The Moudra > Bulletin Boulders > ** Bouldering in Icicle Creek > Icicle Creek > Leavenworth > Central-East Cascades, Wenatchee, & Leavenworth > Washington",https://www.mountainproject.com/route/118987441/aint-nothin-but-a-hueco-thing,2.0,-1,Boulder,V6,1,,47.54429,-120.7156
"All The Way Around","Lean-To Boulders > Deception Glade Boulders > **Bouldering at Exit 38 > Exit 38 > North Bend & Vicinity > Central-West Cascades & Seattle > Washington",https://www.mountainproject.com/route/124334452/all-the-way-around,2.0,-1,Boulder,V6+,1,40,47.43725,-121.66219
"Amoeba Strain","Uvula Boulder > Main Area > Lost Ledge > Larrabee > Bellingham Area > Bellingham and Mt Baker Hwy > Northwest Region > Washington",https://www.mountainproject.com/route/124212450/amoeba-strain,3.0,-1,Boulder,V6-7,1,15,48.65909,-122.46137
"Ancestors Protect Me","Egyptian Boulder > Empire Boulders > Columbia Gorge > South-West & Tacoma > Washington",https://www.mountainproject.com/route/120558474/ancestors-protect-me,2.8,-1,Boulder,V6,1,,45.74499,-121.76218
