Route,Location,URL,"Avg Stars","Your Stars","Route Type",Rating,Pitches,Length,"Area Latitude","Area Longitude"
2,"Lake side Boulder > Rattlesnake Lake Bouldering > Exit 32; Rattlesnake Lake > North Bend & Vicinity > Central-West Cascades & Seattle > Washington",https://www.mountainproject.com/route/112086990/2,2.0,-1,Boulder,V2,1,,47.43427,-121.77321
#6,"The Scourge Boulder > Outer Space Boulders > Smithbrook > Central-East Cascades, Wenatchee, & Leavenworth > Washington",https://www.mountainproject.com/route/124486408/6,2.0,-1,"Boulder, Alpine",V2,1,8,47.80061,-121.05477
1999,"The Millennium Boulder > Lonely Fish > ** Bouldering in Icicle Creek > Icicle Creek > Leavenworth > Central-East Cascades, Wenatchee, & Leavenworth > Washington",https://www.mountainproject.com/route/117739864/1999,2.8,-1,Boulder,V2,1,,47.54418,-120.74122
"420 Moderate","420 > The 420 Boulders > ** Bouldering in Icicle Creek > Icicle Creek > Leavenworth > Central-East Cascades, Wenatchee, & Leavenworth > Washington",https://www.mountainproject.com/route/108558242/420-moderate,2.6,-1,Boulder,V2-3,1,,47.56248,-120.77662
Acrophobia,"Mile High Club Boulders > Far Side Boulders > **Bouldering at Exit 38 > Exit 38 > North Bend & Vicinity > Central-West Cascades & Seattle > Washington",https://www.mountainproject.com/route/114602490/acrophobia,2.7,-1,Boulder,V2,1,10,47.43299,-121.62108
Alive,"Queen Anne > Seattle and Seattle Eastside > Central-West Cascades & Seattle > Washington",https://www.mountainproject.com/route/122766835/alive,4.0,-1,Boulder,"V2 R",1,,47.6407,-122.35154
"Ann Darrow","Star > The Kong Boulders > JY Boulders > ** Bouldering in Icicle Creek > Icicle Creek > Leavenworth > Central-East Cascades, Wenatchee, & Leavenworth > Washington",https://www.mountainproject.com/route/118110922/ann-darrow,2.0,-1,Boulder,V1-2,1,,47.55408,-120.76405
Apex,"Apex Boulders > Miller River Boulders > Skykomish Valley > Central-West Cascades & Seattle > Washington",https://www.mountainproject.com/route/120919625/apex,3.0,-1,Boulder,V2,1,17,47.64987,-121.37434
"Apologies to the Route Setter","Schurman Rock > Camp Long > West Seattle > Seattle and Seattle Eastside > Central-West Cascades & Seattle > Washington",https://www.mountainproject.com/route/124755465/apologies-to-the-route-setter,4.0,-1,Boulder,V2,1,20,47.55471,-122.3735
Appa,"Sky Bison Boulder > Sasquatch Boulders > ** Bouldering at Index > Index > Skykomish Valley > Central-West Cascades & Seattle > Washington",https://www.mountainproject.com/route/122971634/appa,4.0,-1,Boulder,V2,1,,47.83177,-121.52035
"Arete left","Slabby arete boulder > Lower Wall & Lower Lump Boulders > ** Bouldering at Index > Index > Skykomish Valley > Central-West Cascades & Seattle > Washington",https://www.mountainproject.com/route/108129974/arete-left,2.3,-1,Boulder,V2,1,,47.8185,-121.5705
"Atomic Ale-ian","Badger Rock > Howard Amon > Southeast Corner > Washington",https://www.mountainproject.com/route/125051623/atomic-ale-ian,4.0,-1,Boulder,V2,1,,46.27401,-119.27131
"Attracted Arachnids","Richmond Beach Library > Seattle and Seattle Eastside > Central-West Cascades & Seattle > Washington",https://www.mountainproject.com/route/125934853/attracted-arachnids,3.0,-1,Boulder,V1-2,1,15,47.77217,-122.3846
Babealisciously,"Kenticle Boulder > Kent East Hill Skate Park (AKA The Kenticle) > Seattle and Seattle Eastside > Central-West Cascades & Seattle > Washington",https://www.mountainproject.com/route/120109644/babealisciously,2.0,-1,Boulder,V2+,1,12,47.3859,-122.1873
"Baby Back","The Carnival Boulders > ** Bouldering in Icicle Creek > Icicle Creek > Leavenworth > Central-East Cascades, Wenatchee, & Leavenworth > Washington",https://www.mountainproject.com/route/126118526/baby-back,-1.0,-1,Boulder,V2,1,,47.55558,-120.76821
Backbiter,"Lean-To Boulders > Deception Glade Boulders > **Bouldering at Exit 38 > Exit 38 > North Bend & Vicinity > Central-West Cascades & Seattle > Washington",https://www.mountainproject.com/route/119461516/backbiter,2.0,-1,Boulder,V2,1,12,47.43725,-121.66219
"Bad Criminal","(h) Bad Criminal Boulder > (2) Highway Ditch Zone > Pistol Boulders > Far Side Boulders > **Bouldering at Exit 38 > Exit 38 > North Bend & Vicinity > Central-West Cascades & Seattle > Washington",https://www.mountainproject.com/route/120546939/bad-criminal,1.5,-1,Boulder,V2,1,8,47.4291,-121.62023
"Bad Karma","Hueco Crimper Boulder > Pitless Avocado > ** Bouldering in Tumwater Canyon > Tumwater Canyon > Leavenworth > Central-East Cascades, Wenatchee, & Leavenworth > Washington",https://www.mountainproject.com/route/121227177/bad-karma,2.2,-1,Boulder,V2+,1,8,47.59728,-120.71362
"Bad Moon Rising","Bad Moon Slab > Forestland Boulders > ** Bouldering in Icicle Creek > Icicle Creek > Leavenworth > Central-East Cascades, Wenatchee, & Leavenworth > Washington",https://www.mountainproject.com/route/108184707/bad-moon-rising,3.4,-1,Boulder,V2,1,,47.54529,-120.73298
"Balanced Arete","Perfectly Balanced Slab > Outer Space Boulders > Smithbrook > Central-East Cascades, Wenatchee, & Leavenworth > Washington",https://www.mountainproject.com/route/122952461/balanced-arete,2.0,-1,"Boulder, Alpine",V2,1,20,47.80032,-121.054
Bam,"Other routes > Swiftwater Picnic Area > Swiftwater Boulders > ** Bouldering in Tumwater Canyon > Tumwater Canyon > Leavenworth > Central-East Cascades, Wenatchee, & Leavenworth > Washington",https://www.mountainproject.com/route/106529519/bam,2.4,-1,Boulder,V2,1,,47.66484,-120.71974
Barnacle,"Jaws > Roslyn > Central-East Cascades, Wenatchee, & Leavenworth > Washington",https://www.mountainproject.com/route/123133916/barnacle,1.5,-1,Boulder,V2,1,8,47.22487,-120.98527
"Beach Arete","Arete Boulder > The Beach > The Beach and Forest Area > ** Bouldering in Tumwater Canyon > Tumwater Canyon > Leavenworth > Central-East Cascades, Wenatchee, & Leavenworth > Washington",https://www.mountainproject.com/route/108387840/beach-arete,3.8,-1,Boulder,V2,1,15,47.59916,-120.71486
"Beam Me Up","Beam Me Up Boulder > West Forest > Forest > Reiter Foothills > Gold Bar Boulders > Skykomish Valley > Central-West Cascades & Seattle > Washington",https://www.mountainproject.com/route/114439848/beam-me-up,3.3,-1,Boulder,V2,1,,47.84836,-121.60932
Beast,"Aztec Boulder > Empire Boulders > Columbia Gorge > South-West & Tacoma > Washington",https://www.mountainproject.com/route/119673015/beast,1.0,-1,Boulder,V2,1,6,45.74508,-121.76222
"Bee Sloper","Jerry Garcia boulder > The Egg > ** Bouldering in Icicle Creek > Icicle Creek > Leavenworth > Central-East Cascades, Wenatchee, & Leavenworth > Washington",https://www.mountainproject.com/route/119119126/bee-sloper,1.3,-1,Boulder,"V2 R",1,8,47.57192,-120.78939
"Beehive Crack","Beehouse deep water soloing (coyote creek) > Chelan > Central-East Cascades, Wenatchee, & Leavenworth > Washington",https://www.mountainproject.com/route/114587994/beehive-crack,3.5,-1,"TR, Boulder","5.9 V2-",1,40,48.03867,-120.33908
"Bela’s Bursted Brat","Sausage Links Boulder > The Far East Forest > Reiter Foothills > Gold Bar Boulders > Skykomish Valley > Central-West Cascades & Seattle > Washington",https://www.mountainproject.com/route/120853725/belas-bursted-brat,3.0,-1,Boulder,V2,1,15,47.8481,-121.596
"Benjit's Mantle","Snaked Boulder > Main Area > Lost Ledge > Larrabee > Bellingham Area > Bellingham and Mt Baker Hwy > Northwest Region > Washington",https://www.mountainproject.com/route/119532631/benjits-mantle,2.1,-1,Boulder,V2-,1,10,48.65849,-122.46109
"Best crack in Spokane","Diamond Boulder/Best Crack Cave > McLellan Rocks > Spokane Area > Northeast Corner & Spokane > Washington",https://www.mountainproject.com/route/118708167/best-crack-in-spokane,4.0,-1,Boulder,V2-3,1,14,47.7603,-122.17718
"Between 2 Firs","Between 2 Firs > Fern Gully Cluster > Whiteface Area > 2nd Field (Main) > Treasury > Skykomish Valley > Central-West Cascades & Seattle > Washington",https://www.mountainproject.com/route/119611176/between-2-firs,2.8,-1,Boulder,V2,1,,47.76074,-121.12888
"Big Baby","Tetris Boulder > East Forest > Forest > Reiter Foothills > Gold Bar Boulders > Skykomish Valley > Central-West Cascades & Seattle > Washington",https://www.mountainproject.com/route/107716231/big-baby,3.0,-1,Boulder,V2,1,12,47.84697,-121.60585
"Big Mussels","Big Fat Beach boulder > La Push Beaches > Olympics & Pacific Coast > Washington",https://www.mountainproject.com/route/109572462/big-mussels,1.0,-1,Boulder,V2,1,6,47.87778,-124.58668
"Bike Loop","76th Retaining Wall > Edmonds > Seattle and Seattle Eastside > Central-West Cascades & Seattle > Washington",https://www.mountainproject.com/route/118990000/bike-loop,1.5,-1,Boulder,"V2 PG13",1,25,47.82663,-122.33654
"Bit My Pit!","Noelder > Reiter Foothills > Gold Bar Boulders > Skykomish Valley > Central-West Cascades & Seattle > Washington",https://www.mountainproject.com/route/119872651/bit-my-pit,3.0,-1,Boulder,V2-3,1,28,47.84621,-121.61249
"Black Beard","Yonko boulder > Grand Line Boulders > Reiter Road > Gold Bar Boulders > Skykomish Valley > Central-West Cascades & Seattle > Washington",https://www.mountainproject.com/route/119113247/black-beard,2.0,-1,Boulder,V2,1,8,47.84434,-121.61444
"Black Hole","Thunderclap Boulder > Outer Space Boulders > Smithbrook > Central-East Cascades, Wenatchee, & Leavenworth > Washington",https://www.mountainproject.com/route/122952602/black-hole,1.0,-1,"Boulder, Alpine",V2,1,4,47.80057,-121.05464
"Blue Pheasant","Admirals boulder > Grand Line Boulders > Reiter Road > Gold Bar Boulders > Skykomish Valley > Central-West Cascades & Seattle > Washington",https://www.mountainproject.com/route/119113447/blue-pheasant,1.8,-1,Boulder,V2,1,9,47.84449,-121.61423
"Blue's Warmup","Sherlock & Watson Boulder > Main Trail (Upper Area) > Lost Ledge > Larrabee > Bellingham Area > Bellingham and Mt Baker Hwy > Northwest Region > Washington",https://www.mountainproject.com/route/119405162/blues-warmup,2.5,-1,Boulder,V2-3,1,,48.65824,-122.46127
BMOC,"BMOC Boulder > East Forest > Forest > Reiter Foothills > Gold Bar Boulders > Skykomish Valley > Central-West Cascades & Seattle > Washington",https://www.mountainproject.com/route/106511850/bmoc,2.2,-1,Boulder,V2,1,10,47.84712,-121.60671
"Boat Rock Traverse Route","Boat Rock > ** Bouldering at Gibralter > Gibralter Rocks > Northrup Canyon > Banks Lake > Central Region > Washington",https://www.mountainproject.com/route/123272305/boat-rock-traverse-route,2.0,-1,Boulder,V1-2,1,16,47.86621,-119.08617
Bofunk,"Bofunk > The Forest > The Beach and Forest Area > ** Bouldering in Tumwater Canyon > Tumwater Canyon > Leavenworth > Central-East Cascades, Wenatchee, & Leavenworth > Washington",https://www.mountainproject.com/route/126118495/bofunk,2.0,-1,Boulder,V2,1,,47.59441,-120.71448
"Bough Breaker","The Bow Boulder > Far Side Boulders > **Bouldering at Exit 38 > Exit 38 > North Bend & Vicinity > Central-West Cascades & Seattle > Washington",https://www.mountainproject.com/route/114602633/bough-breaker,2.7,-1,Boulder,V2,1,15,47.43056,-121.62332
"Boulder Lip Traverse","Main Area Bouldering > Sehome Arboretum Bouldering > Sehome Arboretum > Bellingham Area > Bellingham and Mt Baker Hwy > Northwest Region > Washington",https://www.mountainproject.com/route/107773652/boulder-lip-traverse,2.7,-1,Boulder,V2,1,15,48.72964,-122.48328
"Boulder Overview","Martha Lake Airport Park Boulder (Lynnwood) > Seattle and Seattle Eastside > Central-West Cascades & Seattle > Washington",https://www.mountainproject.com/route/118356999/boulder-overview,2.0,-1,Boulder,V1-2,1,15,47.86486,-122.23647
"Boulder Problem","Benson Hall > University of Washington Campus and Surrounding Areas > Seattle and Seattle Eastside > Central-West Cascades & Seattle > Washington",https://www.mountainproject.com/route/118336648/boulder-problem,1.0,-1,Boulder,V2,1,15,47.65304,-122.3096
"Boulder Problem #1","Campanile (aka Three Brick Monoliths) > University of Washington Campus and Surrounding Areas > Seattle and Seattle Eastside > Central-West Cascades & Seattle > Washington",https://www.mountainproject.com/route/118336762/boulder-problem-1,2.0,-1,Boulder,V2,1,30,47.65624,-122.30986
"Boulder Problem #2","Campanile (aka Three Brick Monoliths) > University of Washington Campus and Surrounding Areas > Seattle and Seattle Eastside > Central-West Cascades & Seattle > Washington",https://www.mountainproject.com/route/118336769/boulder-problem-2,3.0,-1,Boulder,V2+,1,20,47.65624,-122.30986
"Breadline Variation","The Real Thing Boulder > Forestland Boulders > ** Bouldering in Icicle Creek > Icicle Creek > Leavenworth > Central-East Cascades, Wenatchee, & Leavenworth > Washington",https://www.mountainproject.com/route/112798877/breadline-variation,2.6,-1,Boulder,V2,1,15,47.54498,-120.73286
"Break It Down","Top Sail > Semantics Area > 2nd Field (Main) > Treasury > Skykomish Valley > Central-West Cascades & Seattle > Washington",https://www.mountainproject.com/route/119917546/break-it-down,1.8,-1,Boulder,V2,1,,47.76108,-121.1288
Bricklayer,"Thermopylae Wall > East Forest > Forest > Reiter Foothills > Gold Bar Boulders > Skykomish Valley > Central-West Cascades & Seattle > Washington",https://www.mountainproject.com/route/113226775/bricklayer,4.0,-1,Boulder,V2,1,,47.84753,-121.60596
Bron-Yr-Aur,"Sunny and Steep Boulder > Forestland Boulders > ** Bouldering in Icicle Creek > Icicle Creek > Leavenworth > Central-East Cascades, Wenatchee, & Leavenworth > Washington",https://www.mountainproject.com/route/108576406/bron-yr-aur,2.4,-1,Boulder,V2,1,12,47.54533,-120.73288
Buffalo,"Buffalo Boulder > Roslyn > Central-East Cascades, Wenatchee, & Leavenworth > Washington",https://www.mountainproject.com/route/123133838/buffalo,2.0,-1,Boulder,V2,1,6,47.2248,-120.98555
"Build It Up","Top Sail > Semantics Area > 2nd Field (Main) > Treasury > Skykomish Valley > Central-West Cascades & Seattle > Washington",https://www.mountainproject.com/route/119917540/build-it-up,1.3,-1,Boulder,V2,1,,47.76108,-121.1288
Bulldozer,"Doja Boulder > Central Forest > Forest > Reiter Foothills > Gold Bar Boulders > Skykomish Valley > Central-West Cascades & Seattle > Washington",https://www.mountainproject.com/route/105856372/bulldozer,3.0,-1,Boulder,V2,1,,47.84756,-121.6075
"Burial Chamber","Morris Brown Cluster > West Forest > Forest > Reiter Foothills > Gold Bar Boulders > Skykomish Valley > Central-West Cascades & Seattle > Washington",https://www.mountainproject.com/route/119365524/burial-chamber,2.0,-1,Boulder,V2,1,,47.84858,-121.60887
C-Eye-A,"The Eagle > Sehome Arboretum Bouldering > Sehome Arboretum > Bellingham Area > Bellingham and Mt Baker Hwy > Northwest Region > Washington",https://www.mountainproject.com/route/125094929/c-eye-a,2.0,-1,Boulder,V2,1,10,48.73627,-122.47955
"California Dreamin'","Dishman Bouldering Wall > * Bouldering in Dishman > Dishman > Spokane Area > Northeast Corner & Spokane > Washington",https://www.mountainproject.com/route/113201022/california-dreamin,1.4,-1,Boulder,V2,1,,47.65098,-117.28811
"Can you smell the gas (AKA Sore Thumb)","Elephant Boulder > East Forest > Forest > Reiter Foothills > Gold Bar Boulders > Skykomish Valley > Central-West Cascades & Seattle > Washington",https://www.mountainproject.com/route/105853593/can-you-smell-the-gas-aka-sore-thumb,3.2,-1,Boulder,V2-3,1,12,47.84741,-121.60457
"Caprese Sandwich","Hole Grain Boulder > Rialto Beach Boulders > Rialto Beach > Olympics & Pacific Coast > Washington",https://www.mountainproject.com/route/124477978/caprese-sandwich,3.0,-1,Boulder,V2,1,10,47.93904,-124.64825
Carlisle,"Jerry Garcia boulder > The Egg > ** Bouldering in Icicle Creek > Icicle Creek > Leavenworth > Central-East Cascades, Wenatchee, & Leavenworth > Washington",https://www.mountainproject.com/route/107278541/carlisle,1.2,-1,Boulder,V2,1,,47.57192,-120.78939
"Casey's Crack","Indiana Bones Boulder > Blockbuster Boulders > Smithbrook > Central-East Cascades, Wenatchee, & Leavenworth > Washington",https://www.mountainproject.com/route/121383396/caseys-crack,1.5,-1,Boulder,V2,1,10,47.79522,-121.06455
"Castles in the Sky","The Castle > Mid Wall Trail Boulders > ** Bouldering at Index > Index > Skykomish Valley > Central-West Cascades & Seattle > Washington",https://www.mountainproject.com/route/125958478/castles-in-the-sky,3.0,-1,Boulder,V2,1,20,47.82003,-121.57024
Catalyst,"Mosserati Boulder > Washout Boulders > Morpheus Boulders > Miller River Boulders > Skykomish Valley > Central-West Cascades & Seattle > Washington",https://www.mountainproject.com/route/120380329/catalyst,1.4,-1,Boulder,V2,1,10,47.66684,-121.40278
"Catch Some Air","(b) Crack Wall > (d) Powerline Area > Mount Erie > San Juan, Fidalgo & Whidbey Islands > Northwest Region > Washington",https://www.mountainproject.com/route/121695018/catch-some-air,0.0,-1,"TR, Boulder","5.10+ V2",1,12,48.45386,-122.62915
Cattails,"Boulder With a View > Lake Cushman > Olympics & Pacific Coast > Washington",https://www.mountainproject.com/route/122291633/cattails,3.0,-1,Boulder,V2-,1,7,47.49235,-123.2888
Caviar,"Russian Boulders > Empire Boulders > Columbia Gorge > South-West & Tacoma > Washington",https://www.mountainproject.com/route/124945689/caviar,1.5,-1,Boulder,V2+,1,8,45.74506,-121.76219
"center-center line","Schist Cave > Swiftwater Picnic Area > Swiftwater Boulders > ** Bouldering in Tumwater Canyon > Tumwater Canyon > Leavenworth > Central-East Cascades, Wenatchee, & Leavenworth > Washington",https://www.mountainproject.com/route/106539416/center-center-line,2.0,-1,Boulder,V2,1,,47.66484,-120.71977
Centurion,"Roman Boulder > Empire Boulders > Columbia Gorge > South-West & Tacoma > Washington",https://www.mountainproject.com/route/119686518/centurion,2.6,-1,Boulder,V2,1,18,45.74506,-121.76217
"Chalk Blocker","Cracked Egg Boulder > East Forest > Forest > Reiter Foothills > Gold Bar Boulders > Skykomish Valley > Central-West Cascades & Seattle > Washington",https://www.mountainproject.com/route/118981016/chalk-blocker,2.0,-1,Boulder,V2,1,,47.84707,-121.60494
Chaos,"Sam's Slab > The Beach and Forest Area > ** Bouldering in Tumwater Canyon > Tumwater Canyon > Leavenworth > Central-East Cascades, Wenatchee, & Leavenworth > Washington",https://www.mountainproject.com/route/123401800/chaos,3.5,-1,Boulder,"V2 X",1,,47.59243,-120.7112
"Cheap Date","Date Boulder > Lower (Main) Area > Hamilton Boulders > Columbia Gorge > South-West & Tacoma > Washington",https://www.mountainproject.com/route/110273305/cheap-date,2.4,-1,Boulder,V2,1,10,45.64311,-122.03412
"Chemtrail (Cornflake Traverse)","UFO Wall > Minnehaha > Spokane Area > Northeast Corner & Spokane > Washington",https://www.mountainproject.com/route/118694732/chemtrail-cornflake-traverse,3.4,-1,Boulder,V2+,1,18,47.68729,-117.32649
"Chicken Pesto Panini","Hole Grain Boulder > Rialto Beach Boulders > Rialto Beach > Olympics & Pacific Coast > Washington",https://www.mountainproject.com/route/124557164/chicken-pesto-panini,3.0,-1,Boulder,V2,1,13,47.93904,-124.64825
"China Cat","Jerry Garcia boulder > The Egg > ** Bouldering in Icicle Creek > Icicle Creek > Leavenworth > Central-East Cascades, Wenatchee, & Leavenworth > Washington",https://www.mountainproject.com/route/106413621/china-cat,2.6,-1,Boulder,V2,1,10,47.57192,-120.78939
"Chopsticks / Kicking and Screaming","Cracked Egg Boulder > East Forest > Forest > Reiter Foothills > Gold Bar Boulders > Skykomish Valley > Central-West Cascades & Seattle > Washington",https://www.mountainproject.com/route/105884762/chopsticks-kicking-and-screaming,2.2,-1,Boulder,V2,1,10,47.84707,-121.60494
"Choss Duster","Choss Boss Boulder > Roslyn > Central-East Cascades, Wenatchee, & Leavenworth > Washington",https://www.mountainproject.com/route/123133807/choss-duster,0.0,-1,Boulder,V2,1,20,47.22447,-120.98599
"Chris Boulder","UFO Wall > Minnehaha > Spokane Area > Northeast Corner & Spokane > Washington",https://www.mountainproject.com/route/118725321/chris-boulder,2.0,-1,Boulder,V2,1,,47.68729,-117.32649
"Chris Hill's Arete","Chris Hill's Arete Boulder > North Forest Boulders > Beacon Rock Bouldering > Beacon Rock > Columbia Gorge > South-West & Tacoma > Washington",https://www.mountainproject.com/route/109212369/chris-hills-arete,2.7,-1,Boulder,V2,1,,45.6272,-122.0207
Chunk,"Midway Boulder > Erie Mountain Drive  Areas > ** Bouldering at Mt Erie and Fidalgo Island > Mount Erie > San Juan, Fidalgo & Whidbey Islands > Northwest Region > Washington",https://www.mountainproject.com/route/106528200/chunk,2.0,-1,Boulder,V2+,1,,48.44993,-122.62016
