Route,Location,URL,"Avg Stars","Your Stars","Route Type",Rating,Pitches,Length,"Area Latitude","Area Longitude"
"""OK Groomer""","Right Cliff > CSC Bouldering Area > Burge North (Tonasket) > Okanogan > Washington",https://www.mountainproject.com/route/122803793/ok-groomer,2.0,-1,Boulder,V-easy,1,8,48.79087,-119.24835
"# 2-#7","ChickenHead Rock > Minnehaha > Spokane Area > Northeast Corner & Spokane > Washington",https://www.mountainproject.com/route/118725401/2-7,1.0,-1,Boulder,V0,1,,47.68855,-117.32631
"#5 and #6","UFO Wall > Minnehaha > Spokane Area > Northeast Corner & Spokane > Washington",https://www.mountainproject.com/route/118725337/5-and-6,1.0,-1,Boulder,V0,1,,47.68729,-117.32649
#honnolding,"The Brown Eye Boulder > Mountain Home Road Boulders > Leavenworth > Central-East Cascades, Wenatchee, & Leavenworth > Washington",https://www.mountainproject.com/route/126143208/honnolding,2.0,-1,Boulder,V0,1,,47.54501,-120.66724
"(Scree)min' Demon","Bedal Basin (Bedal Boulder) > Darrington and Mountain Loop Hwy > Northwest Region > Washington",https://www.mountainproject.com/route/110680183/screemin-demon,3.0,-1,Boulder,V0-1,1,,48.06604,-121.36959
"++ Daddy's Brush Station","Daddy Wall > Planet Index > Lookout Point Area > Index > Skykomish Valley > Central-West Cascades & Seattle > Washington",https://www.mountainproject.com/route/122875723/daddys-brush-station,2.0,-1,"TR, Boulder",V-easy,1,1,47.82566,-121.55814
2.,"Bimbo Beach Backbone Boulders > East Wenatchee > Wenatchee > Central-East Cascades, Wenatchee, & Leavenworth > Washington",https://www.mountainproject.com/route/120337671/2,1.0,-1,Boulder,V0,1,,47.46256,-120.31463
"20 Meter Freestyle Traverse","20-Meter Freestyle Area > Banks Lake > Central Region > Washington",https://www.mountainproject.com/route/124634669/20-meter-freestyle-traverse,1.0,-1,Boulder,V0-1,1,80,47.88724,-119.10107
3.,"Bimbo Beach Backbone Boulders > East Wenatchee > Wenatchee > Central-East Cascades, Wenatchee, & Leavenworth > Washington",https://www.mountainproject.com/route/120337945/3,1.5,-1,Boulder,V0,1,,47.46256,-120.31463
4.,"Bimbo Beach Backbone Boulders > East Wenatchee > Wenatchee > Central-East Cascades, Wenatchee, & Leavenworth > Washington",https://www.mountainproject.com/route/120337955/4,1.5,-1,Boulder,V0,1,,47.46256,-120.31463
"5 Star Downclimb","There Will Be Blood Boulder > Blockbuster Boulders > Smithbrook > Central-East Cascades, Wenatchee, & Leavenworth > Washington",https://www.mountainproject.com/route/121313013/5-star-downclimb,4.0,-1,Boulder,V0,1,15,47.79527,-121.06455
5.,"Bimbo Beach Backbone Boulders > East Wenatchee > Wenatchee > Central-East Cascades, Wenatchee, & Leavenworth > Washington",https://www.mountainproject.com/route/120337961/5,1.0,-1,Boulder,V0,1,,47.46256,-120.31463
7.,"Bimbo Beach Backbone Boulders > East Wenatchee > Wenatchee > Central-East Cascades, Wenatchee, & Leavenworth > Washington",https://www.mountainproject.com/route/120337985/7,2.0,-1,Boulder,V0-1,1,,47.46256,-120.31463
8.,"Bimbo Beach Backbone Boulders > East Wenatchee > Wenatchee > Central-East Cascades, Wenatchee, & Leavenworth > Washington",https://www.mountainproject.com/route/120337993/8,1.0,-1,Boulder,V-easy,1,,47.46256,-120.31463
