Route,Location,URL,"Avg Stars","Your Stars","Route Type",Rating,Pitches,Length,"Area Latitude","Area Longitude"
".44 Magnum","Dirty Hairy Boulder > Blockbuster Boulders > Smithbrook > Central-East Cascades, Wenatchee, & Leavenworth > Washington",https://www.mountainproject.com/route/121307235/44-magnum,2.0,-1,Boulder,V5,1,10,47.79542,-121.06383
"3 Glazers","3 Glazers Boulder > Jefferson Lake > Olympic Bouldering > Olympic National Park > Olympics & Pacific Coast > Washington",https://www.mountainproject.com/route/106806130/3-glazers,3.0,-1,"Boulder, Alpine",V5,1,,47.7343,-123.15347
"6 Seconds of Bliss","Yonko boulder > Grand Line Boulders > Reiter Road > Gold Bar Boulders > Skykomish Valley > Central-West Cascades & Seattle > Washington",https://www.mountainproject.com/route/120228715/6-seconds-of-bliss,3.0,-1,Boulder,V5,1,12,47.84434,-121.61444
"9 Millimeter","(b) Titanium Boulder > (3) Access Road Zone > Pistol Boulders > Far Side Boulders > **Bouldering at Exit 38 > Exit 38 > North Bend & Vicinity > Central-West Cascades & Seattle > Washington",https://www.mountainproject.com/route/120547247/9-millimeter,3.0,-1,Boulder,V5,1,15,47.42943,-121.61928
Acme,"Coyote Cobble > **Bouldering at Vantage > Frenchman Coulee (Vantage) > Central Region > Washington",https://www.mountainproject.com/route/119726703/acme,2.6,-1,Boulder,V5,1,7,47.0328,-119.95322
"Ain't Nothing But a V Thang","The Real Thing Boulder > Forestland Boulders > ** Bouldering in Icicle Creek > Icicle Creek > Leavenworth > Central-East Cascades, Wenatchee, & Leavenworth > Washington",https://www.mountainproject.com/route/120372835/aint-nothing-but-a-v-thang,3.3,-1,Boulder,V5,1,14,47.54498,-120.73286
"Alcove Dyno","The Hesitator > Barney's Rubble > ** Bouldering in Icicle Creek > Icicle Creek > Leavenworth > Central-East Cascades, Wenatchee, & Leavenworth > Washington",https://www.mountainproject.com/route/114417820/alcove-dyno,2.6,-1,Boulder,V5,1,,47.54305,-120.73494
"Alfalfa or Spanky?","The Hesitator > Barney's Rubble > ** Bouldering in Icicle Creek > Icicle Creek > Leavenworth > Central-East Cascades, Wenatchee, & Leavenworth > Washington",https://www.mountainproject.com/route/111239871/alfalfa-or-spanky,3.6,-1,Boulder,V5,1,15,47.54305,-120.73494
Alligator,"Gavel Boulder > 420 Zone > Morpheus Boulders > Miller River Boulders > Skykomish Valley > Central-West Cascades & Seattle > Washington",https://www.mountainproject.com/route/120788793/alligator,1.8,-1,Boulder,V5,1,13,47.66346,-121.40322
Almonds,"Front Left Boulder > Coal Creek Crag > Seattle and Seattle Eastside > Central-West Cascades & Seattle > Washington",https://www.mountainproject.com/route/124670435/almonds,2.0,-1,Boulder,V5,1,10,47.52605,-122.11992
Amoeba,"Uvula Boulder > Main Area > Lost Ledge > Larrabee > Bellingham Area > Bellingham and Mt Baker Hwy > Northwest Region > Washington",https://www.mountainproject.com/route/124212410/amoeba,4.0,-1,Boulder,V5,1,10,48.65909,-122.46137
Annyong,"Musashi boulder > The Egg > ** Bouldering in Icicle Creek > Icicle Creek > Leavenworth > Central-East Cascades, Wenatchee, & Leavenworth > Washington",https://www.mountainproject.com/route/122590883/annyong,2.0,-1,Boulder,V5,1,15,47.57192,-120.78939
"Appearances Deceive","UFO and Goodbye Flake Boulders > Roslyn > Central-East Cascades, Wenatchee, & Leavenworth > Washington",https://www.mountainproject.com/route/123134370/appearances-deceive,2.0,-1,Boulder,V5,1,8,47.2248,-120.9842
Aquemini,"Aquemini Boulder > Outkast Boulders > West Forest > Forest > Reiter Foothills > Gold Bar Boulders > Skykomish Valley > Central-West Cascades & Seattle > Washington",https://www.mountainproject.com/route/105859556/aquemini,4.0,-1,Boulder,V5,1,,47.84912,-121.609
Arachnophobia,"Orondo > Wenatchee > Central-East Cascades, Wenatchee, & Leavenworth > Washington",https://www.mountainproject.com/route/117775152/arachnophobia,3.0,-1,Boulder,V5+,1,18,47.77072,-120.15617
"Arete Boulder","Roadside Rock East > Roadside Rock > Banks Lake > Central Region > Washington",https://www.mountainproject.com/route/125841521/arete-boulder,2.0,-1,Boulder,V4-5,1,10,47.88302,-119.092
Atrium,"Atrium Boulder > East Forest > Forest > Reiter Foothills > Gold Bar Boulders > Skykomish Valley > Central-West Cascades & Seattle > Washington",https://www.mountainproject.com/route/121569104/atrium,3.7,-1,Boulder,V5,1,15,47.84721,-121.60639
"Axe Head Project","The Pit > The Pit > 2nd Field (Main) > Treasury > Skykomish Valley > Central-West Cascades & Seattle > Washington",https://www.mountainproject.com/route/120082922/axe-head-project,2.0,-1,Boulder,V5-6,1,,47.76142,-121.12919
